author,year,units,species,spec,region,site,recovery,acc,exp.dur,cm1,s1,n1,c.temp,c.pco2,am3,s3,n3,a.pco2,wm4,s4,n4,w.temp,m6,s6,n6,i.temp,i.pco2
Kenkel,2013,N,Porites astreoides,PAST,Florida Keys,"Offshore, Sugarloaf Key",10 d,NA,43 d,1.1878,0.418396175,15,27.2,NA,NA,NA,NA,NA,0.1298,0.322150956,15,30.9,NA,NA,NA,NA,NA
Okazaki,2017,Y,Acropora cervicornis,ACER,Florida Keys,Biscayne National Park,4 w,10 d,6 w,0.296,0.140159433,4,27,3.8,0.252333333,0.181323652,6,1.7,0.396666667,0.669825599,3,30.3,NA,NA,NA,NA,NA
Okazaki,2017,Y,Porites divaricata,PDIV,Florida Keys,Florida Bay,4 w,10 d,6 w,-0.1854,0.365672394,5,27,3.8,-0.0355,0.393704022,8,1.7,-0.069,0.352397503,7,30.3,-0.003,0.25077347,7,30.3,2
Okazaki,2017,Y,Siderastrea radians,SRAD,Florida Keys,Florida Bay,4 w,10 d,6 w,0.278111111,0.278428377,9,27,3.8,0.277777778,0.263882918,9,1.7,0.540181818,0.423023833,11,30.3,0.3745,0.437981291,10,30.3,2
Okazaki,2017,Y,Solenastrea hyades,SHYA,Florida Keys,Florida Bay,4 w,10 d,6 w,0.421375,0.265561393,24,27,3.8,0.454173913,0.288676392,23,1.7,0.818869565,0.388787662,23,30.3,0.679304348,0.398177488,23,30.3,2
Okazaki,2017,Y,Dichocoenia stokesii,DSTO,Florida Keys,Key Biscayne,4 w,10 d,6 w,0.3668,0.367689679,5,27,3.8,0.5572,0.53682744,5,1.7,-0.147692308,0.235280111,13,30.3,NA,NA,NA,NA,NA
Okazaki,2017,Y,Montastraea cavernosa,MCAV,Florida Keys,Key Biscayne,4 w,10 d,6 w,0.3999,0.216417457,20,27,3.8,0.26735,0.166050809,20,1.7,0.31315,0.231647708,20,30.3,0.12,0.144615643,20,30.3,2
Okazaki,2017,Y,Porites astreoides,PAST,Florida Keys,Key Biscayne,4 w,10 d,6 w,0.192238095,0.216892578,21,27,3.8,0.040428571,0.224921002,21,1.7,0.027952381,0.268301598,21,30.3,-0.04645,0.246218661,20,30.3,2
Okazaki,2017,Y,Siderastrea siderea,SSID,Florida Keys,Key Biscayne,4 w,10 d,6 w,0.784,0.391211452,6,27,3.8,0.9004,0.494599636,5,1.7,0.886,0.492925146,11,30.3,NA,NA,NA,NA,NA
Okazaki,2017,Y,Agaricia agaricites,AAGA,Florida Keys,Key West,4 w,10 d,6 w,1.512,0.524950712,9,27,3.8,1.076222222,0.538521536,9,1.7,1.839111111,0.691075691,9,30.3,1.157555556,1.352049011,9,30.3,2
